Pokémon 	HP 	Attack_Points	Type	Weakness
Bulbasaur 	45	49	Grass	Fire
Ivysaur 	60	62	Grass	Fire
Venusaur 	80	82	Grass	Fire
Charmander 	39	52	Fire	Water
Charmeleon 	58	64	Fire	Water
Charizard 	78	84	Fire	Water
Squirtle 	44	48	Water	Grass
Wartortle 	59	63	Water	Grass
Blastoise 	79	83	Water	Grass
Caterpie 	45	30	Grass	Fire
Metapod 	50	20	Grass	Fire
Butterfree 	60	45	Grass	Fire
Weedle 		40	35	Grass	Fire
Kakuna 		45	25	Grass	Fire
Beedrill 	65	90	Grass	Fire
Pidgey 		40	45	Normal	Fighting
Pidgeotto 	63	60	Normal	Fighting
Pidgeot 	83	80	Normal	Fighting
Rattata 	30	56	Normal	Fighting
Raticate 	55	81	Normal	Fighting
Spearow 	40	60	Normal	Fighting
Fearow 		65	90	Normal	Fighting
Pikachu 	35	55	Electric	Normal
Raichu 		60	90	Electric	Normal
Vulpix 		38	41	Fire	Water
Ninetales 	73	76	Fire	Water
Psyduck 	50	52	Water	Grass
Golduck 	80	82	Water	Grass
Mankey 		40	80	Fighting	Rock
Primeape 	65	105	Fighting	Rock
Growlithe 	55	70	Fire	Water
Arcanine 	90	110	Fire	Water
Machop 		70	80	Fighting	Rock
Machoke 	80	100	Fighting	Rock
Machamp 	90	130	Fighting	Rock
Geodude 	40	80	Rock	Fighting
Graveler 	55	95	Rock	Fighting
Golem 		80	120	Rock	Fighting
Magnemite 	25	35	Electric	Normal
Magneton 	50	60	Electric	Normal
Onix 		35	45	Rock	Water
